given input file:
---------------------------
0 -21.123415 68.037543
1 82.329472 59.688007
0 53.645919 -32.955449
1 -4.520590 10.793991
2 2.680182 -27.043105
0 27.142346 83.239014
2 21.393775 -71.679489
0 -72.553685 -51.422646
2 -19.811121 -68.664182
1 99.784904 -78.238240
0 67.822447 2.586479
0 27.510454 -40.793676
1 94.555005 -1.283403
0 5.348996 54.271540
2 78.305890 -19.954276
2 61.544904 -29.508331
2 89.865415 -86.048945
2 -61.557231 -82.788830
2 -30.221413 78.046521
1 -8.459653 -95.995390
2 94.126826 -52.344009
2 -46.666850 70.183957
1 52.049747 -24.958605
0 6.321287 33.544752
2 86.367011 -12.472481
2 -43.141319 44.190469
1 -29.190264 27.995763
2 -11.979094 -66.805167
0 -33.932574 65.840219
1 -29.927964 78.674483
2 17.728027 91.293651
1 -12.088016 71.735265
0 62.953379 -20.312667
1 -3.501869 82.194406
2 84.025651 90.050475
2 28.216119 76.212434
1 -43.788118 23.919297
2 -10.593284 -38.508425
0 -44.753066 -62.493378
2 -66.078583 -16.699744
0 -74.784932 -79.365762
2 96.950333 52.095046
0 -23.362334 36.889003
1 -41.167928 -26.267292
0 -51.117453 16.897700
2 -74.905019 46.429703
1 49.014278 -67.179613
2 -89.494148 90.020806
0 -51.987526 -64.757869
2 31.312731 46.530882
0 51.946968 27.891669
1 4.042014 -73.019518
1 -59.068983 -86.018720
1 14.663726 63.935456
1 -68.438574 -89.612236
1 77.991129 -59.134278
0 -89.188484 99.559800
2 -99.167678 -85.534240
2 -63.925547 18.778436
1 82.605335 -21.661954
2 10.497004 -28.180926
2 37.477487 -9.484831
2 51.458766 6.161598
1 15.394223 98.445692
2 25.781986 49.561859
0 66.647708 49.560573
2 66.207508 74.654269
1 80.673268 48.762241
2 -0.548296 33.376067
1 77.789750 66.002367
0 -50.391176 29.941397
0 40.123993 -54.172604
0 -53.714410 -34.244591
2 -55.268717 26.614439
1 94.293142 2.137194
2 43.853715 9.221376
0 18.507984 -5.703314
2 -32.729775 -9.816488
0 -99.353708 -13.097341
2 66.648659 19.696260
2 -3.409944 35.095196
2 42.417452 -39.008863
2 -91.827139 24.364564
1 34.787299 39.196758
1 -63.075506 -30.576825
2 46.145869 25.431577
0 -59.557445 48.087688
1 30.626066 36.951307
2 -82.471274 6.488195
2 37.224986 75.476786
2 -27.679818 -77.744874
1 33.311318 18.642291
0 -42.324118 55.153449
1 96.872641 -62.049804
1 -33.704185 65.478227
2 91.727392 -12.700601
0 39.815081 52.974287
0 -23.233612 37.157158
2 83.254582 88.610255
0 58.731368 -59.290357
0 80.986494 -40.542310
1 -0.371215 74.795794
1 -45.217766 -67.448651
2 -7.267570 -1.520236
0 -41.789343 -0.804521
2 45.510057 36.835688
0 -1.515656 20.621765
0 -64.358498 44.850398
2 -75.748243 -0.294904
